RA(deg),Dec(deg),V-Mag
268.44624999999996,-34.339444444444446,13.54
268.9458333333333,-34.70666666666667,13.3
269.0370833333333,-34.544444444444444,12.93
269.0691666666666,-34.521388888888886,11.7
267.8808833333334,-35.51535,10.55
268.31706249999996,-35.440661111111105,10.9
268.1920125,-35.396633333333334,9.91
268.2782291666666,-35.36193611111111,11.56
268.64808333333326,-35.42538333333333,10.77
268.64796249999995,-35.402169444444446,11.27
268.71214999999995,-35.366844444444446,10.56
268.179325,-35.28780555555555,10.95
268.2823291666666,-35.287330555555556,10.2
268.28864166666665,-35.348911111111114,10.6
268.317325,-35.31497777777778,11.87
268.59158749999995,-35.34516388888889,11.23
268.6120291666666,-35.33371944444445,10.32
268.6240708333333,-35.282127777777774,10.28
268.7204749999999,-35.28205555555555,11.29
268.061025,-35.262616666666666,9.83
268.22974999999997,-35.226400000000005,8.91
268.43485416666664,-35.22206666666667,12.29
268.9866666666667,-35.25328888888889,10.86
267.92942500000004,-35.164369444444446,10.8
268.26290833333326,-35.164725,8.6
268.73374999999993,-35.117222222222225,11.34
268.78527083333336,-35.15034722222222,8.61
268.82812916666666,-35.18080555555555,10.01
267.5654041666666,-35.0368,12.18
267.77341666666666,-35.060525,8.91
269.00485,-35.04636111111111,7.99
269.0142916666666,-34.021005555555554,10.68
269.03281666666663,-35.04888888888889,6.71
269.18884166666663,-35.03228055555555,11.9
267.6902125,-34.96507777777778,11.49
267.81515833333333,-34.98638611111111,11.0
267.8165041666667,-35.00512777777778,12.17
268.24041666666665,-34.94888888888889,11.41
268.3429166666666,-35.00861111111111,11.55
268.4266666666666,-35.00194444444445,12.07
268.6529166666666,-35.01416666666667,12.81
268.76708333333335,-34.95388888888889,11.57
268.97063749999995,-34.990025,9.76
269.16689583333334,-34.98384166666667,10.11
267.67303333333325,-34.924775,10.59
267.6906708333333,-34.93875555555555,11.26
267.7111249999999,-34.86326388888889,12.04
267.79099583333334,-34.93595555555555,12.36
268.2133333333333,-34.870555555555555,12.14
268.3383333333333,-34.90972222222222,12.28
268.3395833333333,-34.905,11.84
268.53749999999997,-34.871944444444445,12.2
269.06114166666663,-34.92406111111111,10.29
267.76886666666667,-34.84186388888889,11.25
267.8925708333333,-34.849091666666666,11.41
268.4391666666666,-34.776944444444446,10.75
268.58416666666665,-34.79555555555555,12.45
267.67172083333327,-34.72197777777778,11.59
268.48791666666665,-34.76777777777777,12.87
268.60874999999993,-34.70388888888889,12.6
269.1027208333333,-34.75374722222222,9.23
269.23152083333326,-34.75032222222222,9.01
268.0817333333333,-34.61808055555556,11.18
268.1945833333333,-34.683055555555555,11.9
268.29999999999995,-34.67861111111111,12.01
268.41666666666663,-34.66777777777777,12.7
268.73124999999993,-34.64111111111111,11.98
268.74041666666665,-34.63722222222222,11.73
269.15809583333333,-34.672688888888885,11.13
269.16737916666665,-34.63137777777778,11.06
267.6796458333333,-34.59829722222222,10.88
269.12456249999997,-34.578783333333334,11.13
269.17010416666665,-34.53210833333333,8.1
269.18790416666667,-34.59182222222223,9.83
268.84816666666666,-34.44492777777777,11.51
268.9686791666667,-34.448969444444444,10.58
269.096725,-34.49780833333333,8.81
267.856525,-34.41532222222222,12.9
268.35817499999996,-34.39951111111111,7.41
268.82661666666667,-34.36846388888889,8.87
268.03274166666665,-34.30224722222222,11.24
268.1484083333333,-34.354169444444445,8.29
268.24152499999997,-34.35038333333333,10.85
268.3184916666666,-34.337836111111116,9.79
268.6026166666666,-34.306891666666665,10.22
268.67086249999994,-34.27613611111111,9.64
268.8080875,-34.297625,11.71
268.0133125,-34.2427,11.7
268.1468625,-34.21836944444445,10.79
268.1503041666666,-34.21533055555556,10.51
268.3005666666666,-34.23085833333334,11.78
268.34293749999995,-34.23536388888889,10.09
268.4566,-34.25103611111111,10.09
268.52967499999994,-34.21463333333334,10.19
268.81329999999997,-34.23556111111111,7.5
268.5997958333333,-34.18295833333333,12.05
268.6499208333333,-34.18857777777777,9.74
268.7774083333333,-34.18300277777777,9.12
267.89625,-34.76638888888889,13.3
268.31749999999994,-34.702222222222225,13.42
268.37166666666667,-34.80638888888888,13.4
268.4541666666666,-34.81861111111112,13.55
268.4758333333333,-34.76888888888889,12.53
268.5404166666666,-34.886944444444445,13.3
268.565,-34.79388888888889,13.32
268.5795833333333,-34.973055555555554,12.37
